epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.9305,1.35942,2.32825,3.13046,1.35975,0.44029,0.43428,0.38677,0.25705,0.44627,0.418,0.38289,0.2389,1.70687,3.94701,3.31706,2.071,0.000470147,0.000470147,0.000470147
2,161.864,1.41642,2.24908,1.69824,1.36553,0.40285,0.58529,0.42941,0.31738,0.40331,0.59229,0.4267,0.30563,1.39886,2.64814,19.8683,1.52577,0.00093711,0.00093711,0.00093711
3,237.194,1.39878,2.23031,1.55201,1.34253,0.13107,0.21596,0.21527,0.15278,0.13107,0.21596,0.21484,0.15184,1.58218,4.05577,6.30473,1.72812,0.00139464,0.00139464,0.00139464
4,310.578,1.43077,2.19992,1.50861,1.35076,0.50347,0.48793,0.46526,0.30248,0.51213,0.4951,0.47269,0.28976,1.47738,2.70189,2.25909,1.53274,0.00138656,0.00138656,0.00138656
5,386.563,1.38477,2.18051,1.46424,1.32987,0.4824,0.53636,0.50703,0.33793,0.48087,0.52409,0.5095,0.32372,1.48332,2.7485,3.23184,1.49889,0.00137241,0.00137241,0.00137241
6,462.247,1.37102,2.12428,1.3938,1.32019,0.7055,0.68329,0.72479,0.4942,0.72241,0.66109,0.70536,0.47705,1.29641,2.29718,1.29604,1.3369,0.00135826,0.00135826,0.00135826
7,541.114,1.3271,2.0328,1.2804,1.2871,0.61286,0.62807,0.63723,0.41911,0.64017,0.5953,0.63708,0.41296,1.33517,2.18803,1.56049,1.40958,0.00134412,0.00134412,0.00134412
8,615.707,1.28185,1.95875,1.21743,1.27692,0.70637,0.69662,0.75881,0.50807,0.72832,0.69878,0.76413,0.52113,1.28552,2.05494,1.33836,1.349,0.00132997,0.00132997,0.00132997
9,689.382,1.29042,1.98038,1.17225,1.26086,0.70164,0.56903,0.66872,0.46315,0.72591,0.56102,0.66801,0.47231,1.28735,2.1167,1.91448,1.35532,0.00131582,0.00131582,0.00131582
10,762.995,1.27327,1.90643,1.18483,1.25761,0.756,0.7771,0.78404,0.53785,0.76046,0.7771,0.78954,0.54749,1.23439,1.91266,1.13198,1.32921,0.00130168,0.00130168,0.00130168
11,836.889,1.26305,1.94362,1.16339,1.25489,0.7251,0.64257,0.67436,0.45987,0.71564,0.62004,0.64839,0.44353,1.29571,2.59836,1.38955,1.35669,0.00128753,0.00128753,0.00128753
12,911.152,1.25059,1.91055,1.14047,1.24172,0.79784,0.71811,0.81049,0.55694,0.79727,0.72237,0.81454,0.55481,1.22433,1.9649,1.10628,1.30893,0.00127338,0.00127338,0.00127338
13,986.573,1.22099,1.86486,1.09809,1.22821,0.72231,0.65036,0.68082,0.47035,0.74178,0.65554,0.688,0.45507,1.31457,2.32915,1.38958,1.38311,0.00125923,0.00125923,0.00125923
14,1061.62,1.22802,1.88689,1.05029,1.2225,0.80985,0.78056,0.82172,0.58239,0.79246,0.79087,0.81112,0.57449,1.22072,1.99585,1.01308,1.29114,0.00124509,0.00124509,0.00124509
15,1135.46,1.20794,1.85704,1.05271,1.20662,0.74026,0.74133,0.77372,0.53008,0.75736,0.72933,0.77288,0.51616,1.29163,2.09222,1.11918,1.35615,0.00123094,0.00123094,0.00123094
16,1209.69,1.17025,1.79472,1.01787,1.20089,0.80023,0.68723,0.78385,0.54678,0.80633,0.68834,0.78387,0.54154,1.19042,1.93503,1.07735,1.29474,0.00121679,0.00121679,0.00121679
17,1285.79,1.19623,1.82895,1.00527,1.21478,0.80824,0.76146,0.81773,0.56598,0.82033,0.77079,0.8327,0.5626,1.24852,1.92715,0.98894,1.33761,0.00120265,0.00120265,0.00120265
18,1361.39,1.14807,1.76006,0.96512,1.18594,0.74691,0.70371,0.80442,0.5511,0.76405,0.70306,0.79936,0.55214,1.20633,1.96106,1.04987,1.28328,0.0011885,0.0011885,0.0011885
19,1435.94,1.14868,1.75418,0.98815,1.18658,0.79239,0.81195,0.84529,0.57616,0.79605,0.81554,0.83972,0.57682,1.2281,1.8128,0.95277,1.30838,0.00117435,0.00117435,0.00117435
20,1510.56,1.13293,1.7106,0.94137,1.17459,0.85164,0.82417,0.86941,0.6033,0.86352,0.83093,0.87319,0.61415,1.20658,1.85524,0.84892,1.27871,0.00116021,0.00116021,0.00116021
21,1587.32,1.12996,1.70267,0.9139,1.17135,0.7796,0.80686,0.83557,0.57084,0.79091,0.82357,0.84261,0.58098,1.2675,1.83245,0.97905,1.31609,0.00114606,0.00114606,0.00114606
22,1665.8,1.14211,1.7319,0.91383,1.18427,0.82459,0.77463,0.82246,0.58098,0.8241,0.77563,0.82629,0.57649,1.18248,1.93039,0.95432,1.28084,0.00113191,0.00113191,0.00113191
23,1742.76,1.11192,1.68614,0.90561,1.16067,0.73686,0.81094,0.8187,0.59082,0.75226,0.82744,0.82841,0.57317,1.19819,1.88484,0.96432,1.28765,0.00111776,0.00111776,0.00111776
24,1817.89,1.12694,1.69087,0.9006,1.16732,0.75589,0.74438,0.75761,0.54007,0.76631,0.70921,0.75776,0.53415,1.24278,2.03713,1.19367,1.31552,0.00110362,0.00110362,0.00110362
25,1893.02,1.10295,1.6713,0.87601,1.15579,0.85092,0.76311,0.85149,0.59687,0.86215,0.77136,0.86018,0.59249,1.16976,1.89787,0.88968,1.27701,0.00108947,0.00108947,0.00108947
26,1968.46,1.11383,1.67393,0.87107,1.16285,0.79073,0.81971,0.87468,0.63252,0.8011,0.82988,0.88262,0.62973,1.11874,1.71692,0.92834,1.23962,0.00107532,0.00107532,0.00107532
27,2042.72,1.09125,1.65264,0.85216,1.144,0.78104,0.84705,0.87476,0.6263,0.80457,0.84106,0.87493,0.61516,1.14511,1.80397,0.81692,1.26104,0.00106118,0.00106118,0.00106118
28,2120.14,1.07741,1.62168,0.82388,1.1403,0.82627,0.83219,0.87761,0.62523,0.84065,0.84679,0.88991,0.62103,1.15556,1.75641,0.84227,1.24892,0.00104703,0.00104703,0.00104703
29,2197.51,1.08243,1.62115,0.81881,1.13489,0.86243,0.87668,0.89774,0.65266,0.87094,0.88493,0.90401,0.63767,1.11057,1.74329,0.76171,1.22895,0.00103288,0.00103288,0.00103288
30,2273.01,1.04854,1.60477,0.81929,1.10977,0.82918,0.82973,0.87997,0.63389,0.83851,0.83848,0.88088,0.61769,1.14118,1.82496,0.82253,1.25784,0.00101873,0.00101873,0.00101873
31,2346.92,1.05033,1.59914,0.78024,1.12354,0.8575,0.84758,0.90049,0.64758,0.85847,0.85139,0.90269,0.64544,1.12945,1.74393,0.79793,1.26369,0.00100459,0.00100459,0.00100459
32,2421.45,1.05766,1.61963,0.81563,1.12663,0.80526,0.79014,0.84218,0.60953,0.81865,0.80197,0.85459,0.5944,1.14823,1.93012,0.90688,1.25558,0.00099044,0.00099044,0.00099044
33,2495.4,1.02798,1.57915,0.79081,1.11367,0.85314,0.83536,0.87252,0.61838,0.86039,0.84238,0.87528,0.60941,1.13027,1.82069,0.84084,1.2398,0.000976293,0.000976293,0.000976293
34,2567.41,1.04402,1.59768,0.8117,1.12305,0.89763,0.83768,0.89912,0.63736,0.90621,0.84082,0.90712,0.63337,1.15502,1.74833,0.8116,1.25514,0.000962146,0.000962146,0.000962146
35,2639.53,1.02222,1.55968,0.75861,1.10058,0.82547,0.85712,0.87684,0.64104,0.84297,0.85919,0.88104,0.63282,1.10153,1.68602,0.81284,1.23275,0.000947999,0.000947999,0.000947999
36,2712.09,1.01949,1.53332,0.75589,1.09787,0.85981,0.87003,0.91018,0.66745,0.86588,0.86222,0.90791,0.64341,1.11787,1.71667,0.73961,1.23016,0.000933851,0.000933851,0.000933851
37,2785.36,1.01689,1.54677,0.73113,1.10457,0.82635,0.84292,0.86841,0.62487,0.87932,0.816,0.88104,0.62024,1.17166,1.78094,0.8047,1.27043,0.000919704,0.000919704,0.000919704
38,2857.73,0.99568,1.52008,0.74816,1.09413,0.80133,0.88784,0.88782,0.64901,0.80308,0.88985,0.89208,0.63353,1.10853,1.79551,0.74284,1.23424,0.000905557,0.000905557,0.000905557
39,2929.79,1.02874,1.54245,0.7333,1.10459,0.78917,0.78411,0.85822,0.60808,0.79989,0.76849,0.85744,0.6055,1.16532,1.80072,0.97952,1.29511,0.00089141,0.00089141,0.00089141
40,3001.72,1.01476,1.52758,0.73826,1.10291,0.8658,0.76591,0.86688,0.62916,0.87777,0.77643,0.8841,0.62779,1.12894,1.74446,0.92946,1.22985,0.000877263,0.000877263,0.000877263
41,3075.69,0.99995,1.49836,0.73128,1.09092,0.88163,0.83696,0.9032,0.65622,0.88678,0.84521,0.90866,0.64244,1.11505,1.76054,0.74559,1.2353,0.000863116,0.000863116,0.000863116
42,3150.05,0.98849,1.51087,0.70499,1.08058,0.82986,0.80322,0.87356,0.63613,0.84119,0.81492,0.88246,0.62983,1.14383,1.81371,0.80556,1.27287,0.000848969,0.000848969,0.000848969
43,3223.76,0.98584,1.49677,0.71161,1.07298,0.84595,0.86121,0.88739,0.65507,0.85616,0.86077,0.8853,0.64144,1.09173,1.71041,0.79469,1.23648,0.000834822,0.000834822,0.000834822
44,3297.36,0.97253,1.46828,0.68272,1.07631,0.87664,0.86489,0.89183,0.6423,0.87125,0.86508,0.89851,0.63689,1.11324,1.7566,0.77109,1.22988,0.000820675,0.000820675,0.000820675
45,3370.48,0.98042,1.49511,0.70303,1.08655,0.86655,0.87295,0.91227,0.66378,0.87235,0.87753,0.91554,0.65431,1.08349,1.68416,0.69544,1.21211,0.000806528,0.000806528,0.000806528
46,3443.45,0.97565,1.47873,0.6897,1.08239,0.87505,0.86884,0.90801,0.66084,0.87982,0.87942,0.90548,0.65023,1.10529,1.75606,0.71857,1.22074,0.00079238,0.00079238,0.00079238
47,3515.4,0.95926,1.44879,0.6798,1.0799,0.84746,0.85511,0.87758,0.64908,0.85799,0.86444,0.88172,0.63528,1.11179,1.76298,0.76417,1.23207,0.000778233,0.000778233,0.000778233
48,3587.34,0.9704,1.48665,0.67354,1.07527,0.86037,0.88419,0.90694,0.65385,0.86363,0.88878,0.90709,0.64843,1.10852,1.6728,0.69128,1.24553,0.000764086,0.000764086,0.000764086
49,3658.97,0.92125,1.42939,0.65101,1.0548,0.90336,0.86455,0.90738,0.67073,0.9105,0.87586,0.9168,0.66036,1.09388,1.70729,0.66241,1.25105,0.000749939,0.000749939,0.000749939
50,3731.72,0.91621,1.40681,0.62111,1.04861,0.87766,0.83208,0.90152,0.66579,0.89735,0.83848,0.9028,0.64128,1.06678,1.7144,0.7215,1.20841,0.000735792,0.000735792,0.000735792
51,3804.02,0.9422,1.43184,0.62395,1.06149,0.88913,0.88961,0.92599,0.68022,0.89265,0.89319,0.92656,0.66843,1.0651,1.72196,0.65643,1.20289,0.000721645,0.000721645,0.000721645
52,3876.6,0.92522,1.38341,0.61499,1.03975,0.90719,0.87561,0.91622,0.67,0.90986,0.87794,0.92302,0.649,1.11052,1.68849,0.68042,1.23675,0.000707498,0.000707498,0.000707498
53,3948.93,0.9131,1.4122,0.63251,1.05069,0.84458,0.89449,0.90578,0.66684,0.85957,0.89703,0.90986,0.65394,1.08569,1.6749,0.7092,1.24355,0.000693351,0.000693351,0.000693351
54,4020.35,0.9294,1.38343,0.62632,1.04937,0.8839,0.85499,0.91195,0.68348,0.89281,0.86322,0.92021,0.66336,1.07806,1.70458,0.67588,1.23287,0.000679204,0.000679204,0.000679204
55,4092.36,0.9034,1.37019,0.60747,1.03611,0.85177,0.85325,0.90013,0.67405,0.86963,0.84171,0.90803,0.66413,1.08052,1.70866,0.71381,1.2173,0.000665057,0.000665057,0.000665057
56,4164.25,0.89489,1.37182,0.58591,1.03893,0.89974,0.87906,0.91574,0.67808,0.90739,0.88591,0.92213,0.66576,1.07858,1.66695,0.67744,1.2249,0.000650909,0.000650909,0.000650909
57,4236.41,0.89621,1.35462,0.60236,1.03456,0.88781,0.85056,0.91411,0.67279,0.89334,0.85511,0.91706,0.65744,1.08925,1.76352,0.69252,1.22611,0.000636762,0.000636762,0.000636762
58,4309.56,0.89762,1.35516,0.60069,1.04494,0.88028,0.87885,0.92648,0.69065,0.89401,0.88018,0.93151,0.68037,1.08755,1.65384,0.65022,1.22444,0.000622615,0.000622615,0.000622615
59,4382.37,0.8986,1.34195,0.58293,1.0351,0.89172,0.864,0.90939,0.67527,0.89617,0.86663,0.91761,0.66119,1.09785,1.7675,0.66495,1.25033,0.000608468,0.000608468,0.000608468
60,4455.6,0.87592,1.3203,0.5943,1.01647,0.88431,0.88605,0.90794,0.68465,0.89202,0.89294,0.91662,0.67166,1.0783,1.71049,0.62778,1.23861,0.000594321,0.000594321,0.000594321
61,4529.12,0.88222,1.35598,0.57554,1.02592,0.87083,0.91153,0.93128,0.68525,0.90302,0.88647,0.92967,0.67464,1.07718,1.66217,0.63941,1.2148,0.000580174,0.000580174,0.000580174
62,4602.37,0.86983,1.33732,0.57619,1.02418,0.88848,0.88962,0.92153,0.68378,0.89801,0.89138,0.92574,0.67593,1.06518,1.64034,0.65665,1.21627,0.000566027,0.000566027,0.000566027
63,4675.55,0.85922,1.31835,0.56855,1.01236,0.88152,0.87853,0.92213,0.68899,0.87979,0.87705,0.92234,0.67145,1.07704,1.72556,0.65335,1.21842,0.00055188,0.00055188,0.00055188
64,4749.54,0.87196,1.33017,0.57338,1.02116,0.88733,0.87276,0.9182,0.69115,0.89316,0.86859,0.92322,0.66914,1.087,1.64783,0.64878,1.2299,0.000537733,0.000537733,0.000537733
65,4824.23,0.85592,1.3241,0.54878,1.00983,0.88707,0.89385,0.92523,0.68622,0.89856,0.89362,0.93316,0.67535,1.09785,1.68755,0.63104,1.2611,0.000523586,0.000523586,0.000523586
66,4897.47,0.85727,1.32205,0.55308,1.01912,0.92149,0.90026,0.94003,0.70297,0.91876,0.89793,0.9381,0.6852,1.06984,1.63903,0.62053,1.20917,0.000509438,0.000509438,0.000509438
67,4971.29,0.84179,1.28875,0.53415,1.00912,0.89966,0.88409,0.91989,0.67941,0.90057,0.88241,0.91669,0.67046,1.089,1.70538,0.66157,1.24655,0.000495291,0.000495291,0.000495291
68,5044.52,0.85288,1.31696,0.54443,1.00813,0.9179,0.90461,0.92726,0.69051,0.92244,0.91146,0.94019,0.67256,1.08968,1.6922,0.60829,1.25185,0.000481144,0.000481144,0.000481144
69,5117.25,0.84382,1.26443,0.53175,0.9997,0.89614,0.87508,0.92242,0.69621,0.90239,0.88092,0.93267,0.6796,1.0885,1.69217,0.63009,1.24623,0.000466997,0.000466997,0.000466997
